2019-05-30 01:20:23 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   2,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 250000.0; Tile: START
2019-05-30 01:20:23 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   3,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249999.0; Tile: ROAD
2019-05-30 01:20:23 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   4,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249998.0; Tile: ROAD
2019-05-30 01:20:24 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   5,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249997.0; Tile: ROAD
2019-05-30 01:20:24 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   6,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249996.0; Tile: ROAD
2019-05-30 01:20:24 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   7,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249995.0; Tile: ROAD
2019-05-30 01:20:24 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   8,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249994.0; Tile: ROAD
2019-05-30 01:20:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249993.0; Tile: ROAD
2019-05-30 01:20:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249992.0; Tile: ROAD
2019-05-30 01:20:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249991.0; Tile: ROAD
2019-05-30 01:20:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,3; Parcels:      0; Health: 100000000.0; Health Usage: 1.0E8; Fuel: 249990.0; Tile: ROAD
2019-05-30 01:20:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 100000008.0; Health Usage: 1.00000008E8; Fuel: 249989.0; Tile: ROAD
2019-05-30 01:20:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,3; Parcels:      0; Health: 100000016.0; Health Usage: 1.00000016E8; Fuel: 249988.0; Tile: ROAD
2019-05-30 01:20:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,3; Parcels:      0; Health: 100000016.0; Health Usage: 1.00000016E8; Fuel: 249987.0; Tile: ROAD
